object,creator,description
"
                Simple Fluid Level Touch Indicator
                			",Ryk Waters,"For use with people with impaired vision. Uses a simple see-saw action to tell the user when the fluid is reaching the top of the vessel.No more replacing batteries or high-pitched squeaks from other fluid level indicators!Increases the user's independence as they can discretely check the level of their drinks while filling up, without electric devices, or putting their fingers inside mugs containing how water."
"
                Loc Line Switch
                			",Jon Turnquist,"Summary: I needed a wheelchair mounted, elbow activated switch for a client with very limited movement. Here is a locline mounted switch that uses a 1.5 inch push button switch from Banggood. (45mm Arcade Video Game Big Round Push Button LED Lighted Illuminated Lamp @ $2.21 ). I needed all the wires internal inside the locline and this uses a 3/4"" npt connection to the loc-line. Has two parts that just press fit together. This switch has a LED light but I'm not using it. I had to bend the switch connector tabs a bit to clear but no big deal. Wire COM and N.O. (normally open) connectors for the switch. This is much lighter than the jelly bean switch mount so much less sagging with the loc-line.Link for switch: https://www.banggood.com/45mm-Arcade-Video-Game-Big-Round-Push-Button-LED-Lighted-Illuminated-Lamp-p-1044297.html?rmmds=detail-left-hotproducts__4&cur_warehouse=CN  "
"
                Car Marty Accessory Port Connector
                			",Jonn Blanchard,"The ultra rare car derivative of Fujitsu's FM Towns Marty console has a bit of a weird connector to get video and sound out. The leads for this are even rarer than the console so here's a compatible connector, the pin-out is on our website at re-enthused.com.To use it you just need to get some pins, solder the wires on then push them through the right holes. I recommend hot-gluing the pins in from the inside.This should be fairly easy to print, but some printers may have trouble with the small holes on the pin header."
"
                Amazing Snaget
                			",GRAFF Daidai,This object was made in Tinkercad. tinkercad.com/things/hyFKmZI9qAi
"
                Wrench palm adapter
                			",Gabriela Alejandra Bravo Illanes,"This adapter help you to use a wrench by moving your palm. It's useful for people that has lost their fingers or has limited movement. it's limited .This object was made for the ""Mutual de Seguridad C.Ch.C"" from Chile. In a project of the Direction of innovation and development, and the Neuro rehabilitation institute."
"
                Braces O-Rings
                			",Daniel Filimon,This object was entered in the MakeShaper Design Challenge (see all entries here).For my Braces.
"
                Technical Aid For Caliper
                			",Gabriela Alejandra Bravo Illanes,"This is a calliper adapter that allow its use by people with hand movement problems (this was designed for a patient that has lost his thumb)It improve the handle of the calliper by thickening the movable frame. This adapter is hold in the innerside of the thumb lever and the upper part of the movable frame.(The adapter design must be changed depending on the calliper shape.)This object was made for the ""Mutual de Seguridad C.Ch.C"" from Chile. In a project of the Direction of innovation and development, and the Neuro rehabilitation institute."
"
                Trackball mouse
                			",Gabriela Alejandra Bravo Illanes,"This proyect allow to create a cheap trackballl mouse starting from a conventional optical Mouse. A Trackball mouse allow people with hand/arm movement problems to control a computer.It is very important for the function of the trackball mouse that the center of the mouse's laser should touch (or be very near) to the ball.You will need to download this software (hp.vector.co.jp/authors/VA026826 ) in order to reverse the direction of the mouse.Also it is recommended slow down the mouse speed.This object was made for the ""Mutual de Seguridad C.Ch.C"" from Chile. In a project of the Direction of innovation and development, and the Neuro rehabilitation institute."
"
                levered-power wheelchair (inspired on Hand Drive)
                			",Gabriela Alejandra Bravo Illanes,"This object can be attached to a wheelchair to power it by rowing motion. It was inspired on the open source design publised on hackaday.io/project/7221-hand-drive .It's very similar, but my design doesn't have the gears parts (I try to made it simpler)The design is only for forward, but it has the gear tooth for backward motion (a system withcables must be built, like the original Hand Drive)This object was made for the ""Mutual de Seguridad C.Ch.C"" from Chile. In a project of the Direction of innovation and development, and the Neuro rehabilitation institute."
"
                Cup Holder for Quantum Rehab Power Chairs
                			",Alex,This is a cup Holder Designed for the Quantum Rehab Q6 Edge chair.This is just a simple design that is attached using:1 X 3D Cupholder2 X 3D printed T-Nuts2 X M6-1.0 x 20mm Socket Head Screw The T-Nuts where tapped with a 6mm Tap. Enjoy!
"
                Adaptive Aid Peeler
                			",Hannah Stoll,Peeler with extra grip! This adaptive aid utensil is easy to use and very cheap. It is about $0.61 (amazon.com/Dikale-PLA-Printer-Filament-Dimensional/dp/B079BYK2DT) compared to the competitor's $9.99 OXO Good Grip Cheese Plane (arthritissupplies.com/oxo-good-grips-cheese-plane.html). 
"
                3D printed wheelchair. I call it the HU-GO
                			",Hugo-archicad,"I decided to create this wheelchair because I have used one before due to my own illness,I was a Sydney 2000 Olympic volunteer and part of my job then was to help people that are a different kind of perfect move around the Olympic park.we even received training how to operate a wheelchair during the induction.I have been 3D printing many things and for many people over the last 3 years and I think is time I begin to design/make something for a noble cause.So, I thought I should pay it forward and create one that anyone in the world could make and assemble with a very common cheap parts.I visited my country of Birth Chile a few months ago and I saw first hand how 3D printed parts for different kind of perfect people could transform their lives but sadly they didnt know where to go to get their needs met or that it could be very cheap.I strongly Believe that everyone in the world deserves to be able to move about and a wheelchair should not be a luxury item for the few/well off.It should be a tool that anyone should have access to use.I would love for a school to take this up and make it into a formal design project.I see this project divided into 4 phases.Drawing/DesignWoodworkTextiles3D printingTextiles:The sawing of the cushions and armrests plus the support of these onto the wheelchair itselfWoodwork:The frame, cutting the MDF from a template, sanding, painting, drilling holesLearning how to measure, cut holes with drill, use of jigsaw.3D printingPrinting the bits and checking for tolerances. This is a lovely thing a friend does for a mate but it should not have to be this hard!!http://laughingsquid.com/chinese-student-piggybacks-his-disabled-friend-to-class-for-three-years-so-he-wouldnt-miss-out-on-his-education/The material list will be like this: (will be adding more as I need it)-Plywood/MDF 16mm thick-roll of plastic (1 kilo exactly is what will be needed to print all the components!!)at the end I will rename each part so it has its weight in grams in case you are wondering if you have enough.-zip ties (to support not load bearing components instead of using nuts, bolts and washers which are heavier and more expensive ( I used these for the seat support beam ends)-rods 'broom sticks' of two sizes (50mm for cross bracing and 20mm for the others)-nuts and bolts (will specify how many, what type, size, lenght,etc)-paint (because the frame is kind of chunky a nice vibrant happy colour would be great (I will do version 1 in red because it will go faster)-2 old/new long 'socks' for the arm restsfabric for the seats (I was thinking flour bags) and or old tshitstools required-Jigsaw-drill (hand held or electric)-screwdriver-spanner (will specify size)-access to a 3D printer-access to needle and thread-pair of scissorsand a bit of room to make it. (I live in a small apartment so my workshop was my balcony which I had to leave everytime my little dog needed to go to the toilet, he is shy and doesn't like to go when there are people watching), so a little more room would be best and a bench/table would be great to have too.finally, I dont like the term disabled so instead I replace it with ""a different kind of perfect"" which I got from here (its far nicer)http://themighty.com/2015/04/the-term-that-describes-my-daughter-better-than-special-needs-or-disabled/note: I have started to put PDF's now.once I do the frame today, I will make a cad file of it in PDF and DWG and STL in one piece so that maybe someone with a laser cutter machine big enough can cut it automatically.also when the frame is done i will assemble it and begin to take photos of the real thing!!!!This project has taken a great amount of time, effort and resources to design and build.(As you know any prototype is expensive at first, I am happy to wear the costs)My purpose is to share it with the world for free, however a small contribution would be a huge help to continue its development.please go here and help me if you believe in this worthy cause.https://www.paypal.me/justonedollarMy dream would be for this project to be copied by someone like IKEA and mass produce this flat packed and shipped wherever these might be needed as part of help that countries offer one another.Anyone with questions or help, done hesitate to send me a message and I will endeavour to reply ASAP.Also if anyone would like to donate a 3D printer for this cause don't hesitate to get in touch with me.It doesn't even need to be big or fancy, i can modify the wheelchair parts to fit their built area. you would be doing a great thing."
"
                Hook
                			",Sonia Verdu,"This is a simple design: a hook. At the last moment I had an idea, I do not know if it's interesting, I do not know if it's a good design, but I wanted to share it because it may be useful for some people who do not have hands. Anyway I want to refine and improve it soon.I've updated the hook. Now the hook is having an opening to grab things thanks to a wing nut that presses. I put silicone on the hook for better grip, I'll upload a tutorial soonThis work is licensed under a Creative Commons Attribution-ShareAlike 4.0 International License. Hook by Shira is licensed under the Creative Commons - Attribution - Share Alike license."
"
                telescopic distance grabber
                			",Aaron Lutin-Smet,Why is this not only a cool toy but also a very useful tool to improve the quality of live ? In Belgium the amount of people above 65 is rising  and with it the amount of people who have back problems. The biggest issue for people with back problems is  bending there back. It is not only useful for these people but also for disabled people in wheelchairs. They can take it everywhere with them because its small when undeployed. That’s why the telescopic distance grabber will improve their live. The telescopic distance grabber I designed is far more practical then al the original ones you can buy in the shop. It was a real challenge to make it telescopic. It had to be strong but not too big. So I ordered several 3d prints to test the design on strength  and practicality. The second challenge was making sure it could be 3d printed. I made sure the walls where a factor of 0.4mm so there are no gabs in the wall when printed. After a month of tests and redesigning the product was finished at my satisfaction.When its deployed it measures 108 cm (42.5 inch) . If its undeployed it measures 37 cm (14.5 inch).  When printing this I recommend to not scale it more than 75 percent because the walls will become thinner and there for weaker. It’s also better to use ABS then PLA. When u print it in ABS use a raft. With a raft it should print fine depending on the printer you have. 
"
                Hashi Beta for Enabledby3d contest
                			",Phyllis Alinsao,"The Hashi Beta is a device that assists people with little to no ability to use chopsticks or a hand disability. Billions of people in the world use chospticks as thir main eating utensil, and to be deprived of or miss out on such a unique ability. The way this device works is by simply wrapping the strap of the object around your hand and using your thumb to move the mobile chopstick holder along its small track. It requires minimal effort to operate and makes using chopsticks simple and easy! For a better view of our device in use, click this link: "
"
                Wheelchair-Mounted Dog Treat Dispenser
                			",Tikkum Olam Makers,"About the project: This project provides wheelchair users with limited dexterity a device to train and reward their service dogs easily and conveniently.The Problem:This project was undertaken in cooperation with PADS (Pacific Assistance Dog Society), a non-profit organization in Vancouver, BC that breeds, raises, trains and supports certified assistance dogs, partnering them with people living with disabilities. Assistance dogs at PADS and many other organizations are trained using the clicker method. Good behaviors and successful commands are marked with a distinctive noise from a handheld clicker, followed by a dog treat. Many wheelchair users who are provided with service dogs find it difficult to use a clicker and deliver treats due to reduced mobility or dexterity. There is a need for an easy-to-use wheelchair-mounted device that can make a clicking noise and dispense treats. Currently, all available products are either unsuitable for this task, or prohibitively expensive.The Solution:A 3D-printable device was designed to simultaneously deliver treats and actuate a typical handheld clicker using a simple pushing motion. It can be mounted on the side of a wheelchair using a commonly-available type of mounting bar and bracket. The device is made of exclusively 3D printed parts in order to eliminate any potential difficulties sourcing components, and does not require any electronics. It is both easy and affordable to replicate. Short video demo of the finished product being used at PADS: youtube.com/watch?v=7nEjaSM5ihQ Close-up video of the device being used: youtube.com/watch?v=3KIXZ9USlOU"
"
                Mosaic Money Clip
                			",Mosaic Manufacturing,Designed in OnShape and printed in 4 colors on a Series 1 Type A with a Palette. The geometry was inspired by this video https://www.youtube.com/watch?v=SXrXVsmBoOc and so far has maintained a firm grip on 3-5 cards. 
"
                Denis Brown bar brace replacement part - Club foot
                			",Olivier,"A friend of mine have a baby with club foot deformity. The treatment is to use a Denis Brown bar brace but one peace is really weak and brake once a week.We changed a bit the design and it is now fixed :)French : Pièce de rechange pour la rotule d'une athèle Dennis Brown. La pièce était trop fragile et cassait en permanence, un nouveau design permet de ne plus rien casser :)"
"
                Plastic Scraper
                			",Walter Hsiao,Plastic scraper or rubber squeegee depending on the material you print it with. Useful for fiberglassing or removing wax from a surfboard.Printer:-- EustathiosFilaments: (full list can be found on thrinter)-- eSun Red ABS-- Sainsmart Transparent Red TPU 
"
                Strap Tripod Plate (Arca Swiss Compatible)
                			",Walter Hsiao,Strap plate for attaching an Arca Swiss compatible tripod to a nylon strap.Printer:-- EustathiosFilament:-- Atomic Filament Transparent Green PLA-- Atomic Filament Transparent Aqua PLA 
"
                Ice Scraper with Poll Extension
                			",Richard Swika,"Here's a beefed up snow plow ice scraper featuring a threaded handle and reusable poll extension segments. It fits standard (US) 3/4"" broom, mop and paint roller handles. Each printable poll extension adds about 170mm (6.7"") to the handle length of your ice scraper, paint roller, mop or broom.Print at 0.2mm, 20% infill (or more!), 4 perimeters, automatic support (needed for threaded regions only)."
"
                Shoelace tie helper
                			",Edison Siu,"Most common everyday practical shoes have laces on them. However, tying them is a nearly impossible task for someone with limited mobility in their hands. This  device simplifies the process of tying shoes by incorporating a screwing method. The device allows you to insert your shoelaces in and screw in the bolt to tie your shoes by inserting the lace into the hole of the large ring attached to the bolt sleeve, and then loop it over and placing the aglet (plastic tip commonly found on the end of shoelaces) onto the top of the bolt into the holes, you can then screw the bolt in and have the shoes tied. The design is meant to be small in order to not draw too much attention when on the shoe. The design incorporates bumps on the bolt to aid with grip, and has a small compact design. This device can help people with limited mobility in their hands by simplifying the process of tying shoes which is pretty much an everyday task most people have to overcome. The device is intentionally designed to be a screw with a rigid bolt in order to increase grip, and to allow for one-handed tying. Many of today's shoes have laces, and although there are alternatives such as slip in shoes, they are not as common to find, can tend to be much more expensive, and are not as practical, comfortable, or durable compared to shoes, such as sneakers, which have laces to conform closely to the user's foot. The only other comparable alternative is Velcro, but Velcro can be a hassle especially if dirt or other substances get in them and takes a long time to clean afterwards and make them unusable when substances get into them. Laces however, are small, thin, and compact making it the best in shoe tying and are completely reliable to be functional even after years of wear. Additionally, the shoe market for most comfortable and common everyday shoes is almost entirely revolving around shoes with laces, because laces are the cheapest and easiest method to adjust shoes and are easy to produce for the shoe companies. This product will open up that market for those with limited mobility in their hands, and will allow for a broader market of shoes for those with limited mobility in their hands. This device is compatible for almost any disability concerning the arm and hand. This device can be worked with, for example, by people who cannot fully close their hands by using their palms to screw in the laces, by those who cannot open their hands entirely, by either using their hands or wrists to screw it in, by people who are only able to utilize one arm,  to use the device one handed, and many more possibilities. Additionally, thanks, to Aubenc for the original thingiverse bolt design which was inspiration to my design."
"
                Painting_booth
                			",3D-IN,Painting_booth
"
                Peg Triangle Solitaire Game (Tricky Triangle)
                			",Bin Sun,"The Peg Triangle solitaire game is a fun wooden puzzle game that can be found on the tables at the Cracker Barrel restaurants in the U.S.The game board is a triangle with 15 holes in the same shape as bowling pins, except with an extra row. The game starts with pegs (golf tees) in all the holes except one; the goal is to jump pegs one at a time, removing the jumped peg until only one peg remains. The instructions on the board say that if you leave only one peg, you are a genius.Print one board and 14 pegs (preferably in 3 colors) and enjoy! Learn how to play:http://www.wikihow.com/Win-the-Peg-Gamehttps://www.youtube.com/watch?v=kZ6zr_EG5eI"
"
                Rose's Cane: Extra set of hands
                			",Tikkum Olam Makers,"About the project: A cane that also incorporates an arm that can pick up dropped objects to ensure the user doesn't have to bend down, and potentially loose balance.The Problem:Our need knower, Rose, has parkinson's disease. She often looses her balance, but especially when she bends down to reach for something. She has another grabber - but it doesn't pick up flat pieces of paper, or little objects like pills and sometimes she drops the grabber itself.The Solution:Our design has a grabber incorporated into the cane. It allows for simultaneous use of the cane's supporting function - and a grabber function. The user positions the cane near the dropped object and aims the cane using a laser light. The arm then extends downward and grabs the object with a robotic clenching hand. The arm then retracts and the user can grasp the dropped object."
"
                ESSO 250ML CAN CARRIER
                			",Hugo-archicad,"I have taking a real liking to the little 250ml soft drink cans.I am not a hater but I hate the boxes they come in!!You take a couple out and the whole box falls apart in the fridgeSo I thought of making a little carrier/ fridge holder to keep em secure in the fridge and something cool to carry them with.And i admit they look a bit girly so i had to do something......How about putting a knuckle duster hand holder!!!Perfect ...I know!!Now look tough (not really!!) and bring em to your mates! By the way my little dog Moet loves to photobomb!!! and loves going into my 3D printer room (my wardrobe)enjoy. if you make more than one you can stack them one on the other, I made a slot for the handle to hide on the one above so you can put them in the fridge and save space. see the stacking here!! youtu.be/ffcHL61_uKU All I ASK ONCE AGAIN IS THAT ONCE YOU 3D PRINT THEM TO POST A PHOTO.THANKYOUOh one more thing, If you have a big printer you can do the 10 pack.they are stackable too! there is a slot inside them where the handle disappears into.And it uses very little plastic (I made holes everywhere because I dont have plastic to waste)I always have one more project to 3D print and i am sure you do tooSo put supports on to the buildplate, and support to the bed plate.enjoy"
"
                CLIP
                			",Steve5092,Clip!
"
                Muscular Dystrophy Flat Spoon
                			",Drato Lesandar,"  Notes:Orienting the spoon slightly sideways at about 40 degrees and then letting Preform create supports.Have to still test if there is a better orientation.The clear Resin I used in printing the spoon is not food safe! See info in summary to make sure not to misuse 3DPrinting for objects that get into contact with food or your mouth.How I Designed ThisAs always I used Cinema 4D as the tool of choice. I used hypernurbs with a low poly version of the spoon, to keep it easily adjustable to Elsha's needs.Food Safety and MoldingImportant info on food safety and 3DPrinting: Use 3D Printed objects on your own risk and get yourself informed well, not all materials are safe and not all production processes are safeFood Safety and 3D PrintingI found info on food safe mold making and food safe resin but there is more than just using food safe materials to producing foodsafe objects (e.g. material of mold, surface structure of the finished product...). I couldn't find any ""food safe/grade"" resin in europe(Germany), maybe due to different regulations. I found info on Injection Molding with certain materials that are said to be food safe (like PET en.m.wikipedia.org/wiki/Food_contact_materials)info I found:General Discussions in our communitypinshape.com/blog/3d-printing-food-safeall3dp.com/food-safe-3d-printing-material-filament-plasticreprage.com/post/36869678168/is-3d-printed-pla-food-safeUS laws and regulationsfda.gov/ForConsumers/ConsumerUpdates/ucm047470.htmfda.gov/Food/IngredientsPackagingLabeling/PackagingFCS/ucm2006853.htmbiomerics.com/pdfs/Biocompatibility-Guide-2011-Quadrathane-ALC.pdfGermany or EU laws and regulationsec.europa.eu/food/safety/chemical_safety/food_contact_materials_enefsa.europa.eu/de/topics/topic/food-contact-materialsverpackung.org/uploads/media/VO_10-2011_PIM.pdfbfr.bund.de/de/presseinformation/2013/A/materialien_im_kontakt_mit_lebensmitteln-9178.htmlplastics.net/docs/1048_13808-02-en.pdfCreating Molds and Casting food-safe spoonsList of Silicone and Resin that the manufacturers claim to be food safe for the US:shop.resinobsession.com/collections/resin/products/alumilite-amazing-clear-cast-epoxy-resin-16-ounces?variant=1195651921shop.resinobsession.com/collections/mold-making-materials/products/alumilite-amazing-silicone-putty-kit?variant=965318805amazon.com/Smooth-Sil-Grade-Making-Silicone-Rubber/dp/B00EOA25X2amazon.com/Clear-Food-Grade-Silicone-Sealant/dp/B0063U2RWU/ref=sr_1_3?s=industrial&ie=UTF8&qid=1489464067&sr=1-3&keywords=FDA+approved+silicone3D Printed Molds for Injection Moldingformlabs.com/webinar-making-molds-3d-printing-recordingStep-by-Step | Create Mold and Cast SpoonCreate food safe mold and cast the spoon in food safe resinThe materials you need:Vaseline (just regular, you can get at a drugstore or beauty shop)Exacto KnifeResin to cast your spoons with: e.g. shop.resinobsession.com/collections/resin/products/alumilite-amazing-clear-cast-epoxy-resin-16-ounces?variant=1195651921Putty/Silicone to make the mold out of spoon: e.g. https://shop.resinobsession.com/collections/mold-making-materials/products/alumilite-amazing-silicone-putty-kit?variant=965318805If you find other resources for food safe resin and silicone that's perfectly fine too, as long as you follow the suitable instructions on molding and casting.Optionally you can spray coat the real spoon with a thin layer of food safe lacquer before molding, to go super safe and avoid any chemicals leaking into the mold.In the first two links(resin and putty) they have videos on how to use the products, let your friend watch these plus my instructions below.Make a first test with a spoon you do not need, to make sure that everything works fine, before using the spoon you really want to castThat is how I would do it (sadly I cant test it here, I do not have these materials here) - Step by step:"
"
                Bottle Opener using can tabs
                			",Evan Johannigman,Enjoy your drinks while recycling your drinks! A bottle opener that uses the tabs of cans.
"
                Bag handle
                			",Matthieu Lemaître,"meant to maximize the surface on the hand from a bag handleeven made it extra confortable and luxurious with a fake leather headrest from a broken headset :pthe gcode are for an ultimaker², rough surface version in normal quality, smooth surface one in highit prints vertically, like a unicorn, so a brim is a must"
"
                Crutches Pads
                			",Cristiano Baleani,VideoWith those pads is possible to walk on sand with a normal crutches.Those are designed for 19mm crutches. Print the pad in Tpu for have the best usability and grip on the ground. Is possible to insert inside the hole a washer with the maximum outside diameter of 24 mm for protect the rubber from the edge of the crutches tube. Print it with an high infill percentage for heavy weights (50%+)
"
                Small Bag Hanger
                			",Walter Hsiao,For hanging stuff in the closet.Printer:-- EustathiosFilaments: (full list can be found on thrinter)-- Honeycomb Drone Orange ABS
"
                Ice cream holder #Tinkerfun
                			",Ido Dana,"The most delicious dessert in the summer is ice cream, but it is almost impossible to eat ice cream without getting your hands dirty.That's what the ice cream holder is for!Simply put the ice cream cone into the holder and eat. Now you can eat ice cream in a clean and comfortable way. This object was made in Tinkercad. tinkercad.com/things/9cxlqMdczgz"
"
                Su il ripiano, su il morale!
                			",Lorenzo galleani d'agliano,"Su il ripiano, su il morale! is an open source project licensed under CC BY-NC-SA 4.0 < creativecommons.org/licenses/by-nc-sa/4.0/legalcode > We are a team of engineering students from the Politecnico di Torino (Turin, Italy) working with a 9 years old girl affected by spastic quadriplegia, a subset of spastic cerebral palsy that affect all the four limbs.The project stems from a collaboration between the Hackability association < hackability.it > and the Hackability@PoliTo < hackability.it/teampolito > students team. The collaboration aims at co-design with disabled people tools the will improve their everyday life and foster their participation to active society.Here you can find the 3D printed parts from our project. More info and full details on the project page here hackaday.io/project/25210-su-il-ripiano-su-il-morale. The team:Matteo MonselloLorenzo GalleaniAlessandro MeneghiniEugenia CrisafulliGiacomo PetragliaGiovanni MalacarneMarcella TomaJoystick_Mod We found that Anita had a lot of trouble trying to use her electric wheelchair's joystick, so we designed a new one to enable more freedom and better mobility. It is printed in PLA and flexible filament, for better grip and for suction-mounting on the already existing joystick.To assembly simply join the three parts together with some glue.Note: if the adapter is too tight to enter in the base make a hole with a needle in the base of the adapter, to let the air escape.Glifo_ModA remix of the GLIFO< myminifactory.com/it/object/glifo-24092 > (a collaboration between OpenDot and TOG foundation) helps Anita to draw. We redesigned it to made it stronger and to fit perfectly in her hands. Press with a soldering iron a 4 mm nut into place.Glue the Pen_Holder and the Outer_Ring together and then glue a 4 mm bolt to the Flower_Handle. Insert the Inner_Ring into the Outer_Ring.NinjaPillowTo keep her in a correct and more comfortable position we designed two NinjaPillow that fit on the elbow holders. They are printed with flexible filament and 3D infill, to get a soft feeling.Many thanks to Giuseppe Terruso for helping out with the design.(print one for each side)Instructions on how to mount them here< instructables.com/id/Su-Il-Ripiano-Su-Il-Morale >Print Settings: Printer: Prusa I3 Hephestos0.4 mm nozzleSliced with Cura 2.5Orientation as uploadedFilaments used:Crea PLA professionalCrea TPU/FLEX  Joystick_Mod_Base_PLA:Layer Height: 0.2 mmShell Thickness: 1.2 mmInfill: 30% LINESPrint speed: 40 mm/sTemperature: 210 °CSupports: NOPrint Time: 45 m   Joystick_Mod_Top_TPU:Layer Height: 0.2 mmShell Thickness: 0.8 mmInfill: 20% CUBICPrint speed: 25 mm/sTemperature: 205 °CSupports: YESPrint Time: 1:37 hJoystick_Mod_5mm_Adapter_TPU:Layer Height: 0.2 mmShell Thickness: 0.8 mmInfill: 100%Print speed: 10 mm/sTemperature: 205 °CSupports: NOPrint Time: 29 mGLIFO_Mod_Outer_Ring_PLA_V1:Layer Height: 0.2 mmShell Thickness: 1.2 mmInfill: 100%Print speed: 40 mm/sTemperature: 210 °CSupports: NOPrint Time: 58 m GLIFO_Mod_Pen_Holder_PLA_V1:Layer Height: 0.2 mmShell Thickness: 1.2 mmInfill: 100%Print speed: 40 mm/sTemperature: 210 °CSupports: YESPrint Time: 1:50 h GLIFO_Mod_Inner_Ring_TPU_V1:Layer Height: 0.2 mmShell Thickness: 0.8 mmInfill: 100%Print speed: 25 mm/sTemperature: 210 °CSupports: YESPrint Time: 1:21 h  GLIFO_Mod_Flower_Handle_V1:Layer Height: 0.2 mmShell Thickness: 1.2 mmInfill: 20% GRIDPrint speed: 40 mm/sTemperature: 210 °CSupports: NOPrint Time: 27 m NinjaPillow:Layer Height: 0.2 mmShell Thickness: 0.8 mmInfill: 10% CUBICPrint speed: 25 mm/sTemperature: 205 °CSupports: only for the perimetersPrint Time: 11:52 h"
"
                Parametric Playing Cards with Optional Braille Dots
                			",Riskable,"Have you got an SLS 3D Printer (or a ton of patience)?  Then you can 3D print your own customized deck of playing cards!An example deck is included (without braille because MMF wouldn't allow me to upload a file > 75MB) but you can use OpenSCAD to make your own using whatever fonts or designs you want.  If you generate a deck of cards with braille the dots will be in the lower-left corner because it's more ergonomic!  Why normal braille playing cards don't put the dots there is beyond me (who wants to reach up all the way to the top or awkardly hold the cards in an upside down V--reaching to the bottom right to read the braille upside down?).Inside the .scad is a number of parameters that can be modified to make your deck of cards however you like but there's two settings you *really* need to pay attention to: card_thickness and space_between_cards.If you go below 0.3mm card thickness there's a chance your opponent could see your suit/rank through the card.  This is highly dependent on the type of material you used to print the cards.The 'space_between_cards' setting should be set according to your printer's tolerances.  After doing much research I've determined that about 0.5mm should be well within the tolerances of the SinterIt Lisa.  Since I don't have a Lisa to print with I cannot confirm this but you should actually be able to print multiple decks at once!If you don't have an SLS printer then you're stuck printing each card, one at a time.  This is definitely possible you'll just have to be patient and generate each card you want to print using the OpenSCAD .scad file individually.  I recommend printing one at a time in the exact same place on your print bed so there's no variance in the front of the card.  Unless of course you're printing onto glass or something that is perfectly flat across its entire surface.NOTE: It can take a long time to render a complete deck of cards.  It took my modern/fast computer about an hour (I was doing other things in the background though).  The preview (F5) is nice and fast though!There's lines in the .scad that are commented out that serve as examples of how to view individual cards (say, Ace of Spades).  So designing your own should be quick and easy."
"
                Circular Protractor Frame
                			",Walter Hsiao, Circular protractor designed to be used with making ceramics (e.g. placing feet symmetrically on the bottom of a round pot).
"
                Iphone 5 Wheelchair Mount
                			",Joe Foulkes,"I have designed this mount for a friend of mine who has a muscular disorder meaning they spend a lot of time in a wheelchair. Upon speaking to them, I found that one of their most annoying problems was that they found it hard to keep hold of their phone whilst in their chair.  The mount I have designed fits over the arm of the chair and is then secured in place with a velcro strap."
"
                Braille Keyboard Keys
                			",Samin,"This is an invention that is supposed to help the blind, by allowing them to read the keys on the keyboard. These keys are the universal size, so they will fit on any keyboard. The keys also print with the number keys which will fit on both the desktop key pad or a laptop number pad.The keyboard shown in the picture is the Dell Wired Keyboard KB216 (580-ADMT).To attatch the keys to the keyboard use either super glue, or I would reccomend double sided tape for a temporary job. To attach them in the correct direction use the pictures of the keys on the keyboard."
"
                3D CAST ' FLEXIBLE STRENGTH SLEEVE
                			",Andres Najera,"This object was entered in the MakeShaper Design Challenge (see all entries here).If you have ever used a cast, you know the pain of not being able to scracth a certain spot.This object is intended to be a strenght sleeve for support for the arm or a cast that you can print from home.The flexible material will be excelent to provide strength needed for the arm but flexible enough to wrap around the arm.One side has rings that can be adjusted and it can be put on and removed very simple and it can be printed from your home. Winning a printer with capabilities of flexible printing and flexible material will allow me to develop more the idea. Please let me know any questions or suggestions."
"
                Student Pocket Light ( Ear Attachment )
                			",Adib Dragneel,"Student Pocket Light (Ear Attachment) By Adib DragneelThis project is about making a torchlight that could be used by the student (target user).Problem Identification :Student College that sharing room/dorm facing a problem to study at the late night while they can't switch on the light because it might interupt their friends which is sleeping. So by using this ear attach torchlight they can study without worries that they might startled their friends.Pratically, I design it wearable because student need to used both of their hand while study so it quite handy to attach the torchlight at their ear.Argue Statement :Why does we need these when we have a table lamp?Table lamp could'nt fits into your pocketBesides, you can read on bed does'nt need to bring your table lamp instead.Thanks For Reading :)-adib-"
"
                Cylinder Center Finder
                			",Yannick Imhof, Great littel tool to finde the center of an rod.
"
                Sputum's deflector for tracheotomy / déflecteur de crachats pour trachéotomie
                			",Julien OUDIN,"Cette aide, clipsée sur une canule de trachéotomie permet de dévier les crachats.Auparavant réalisée en plastique thermoformable, elle est maintenant imprimable au besoin.Le premier modèle possède un rebord, le deuxième n'en a pas et peut être imprimé sans support.Consultez un professionnel de santé avant usage.This aid, clipped onto a tracheostomy tube, helps deflect sputum.Previously made of thermoformable plastic, it is now printable as needed.The first model has a rim, the second has none and can be printed without support.Consult a health professional before use. "
"
                Braille Keyboard Keys
                			",Jon Spalds,"This is a set of 48 Braille keys to help the blind type. To use keys, remove keys in keyboard and replace with braille keys. Each braille key also has the letter, number or symbol it corresponds with placed into it to allow for use by everyone. Keyboard used: Blackweb Customizable Gaming Keyboard(Sorry for the low image quality)"
